Date,Year,Forecast Temperature
24-06-2034,2034,59.61810986
25-06-2034,2034,60.26621218
26-06-2034,2034,60.14402392
27-06-2034,2034,59.26505685
28-06-2034,2034,59.08025472
29-06-2034,2034,58.71575917
30-06-2034,2034,59.81383932
01-07-2034,2034,59.22505342
02-07-2034,2034,58.83295853
03-07-2034,2034,60.75889208
04-07-2034,2034,60.75274062
05-07-2034,2034,59.2141613
06-07-2034,2034,58.79135587
07-07-2034,2034,61.21061301
08-07-2034,2034,58.82673303
09-07-2034,2034,54.61601543
10-07-2034,2034,55.42911195
11-07-2034,2034,55.52058213
12-07-2034,2034,55.98756979
13-07-2034,2034,58.32451169
14-07-2034,2034,59.33770345
15-07-2034,2034,60.52058576
16-07-2034,2034,59.57192673
17-07-2034,2034,60.35383899
18-07-2034,2034,58.5598573
19-07-2034,2034,57.26535559
20-07-2034,2034,57.3271104
21-07-2034,2034,56.88338895
22-07-2034,2034,59.87446911
23-07-2034,2034,60.54644492
24-07-2034,2034,61.3460656
25-07-2034,2034,60.43816126
26-07-2034,2034,57.85394067
27-07-2034,2034,56.24355791
28-07-2034,2034,56.06908231
29-07-2034,2034,56.04496352
30-07-2034,2034,58.46678337
31-07-2034,2034,61.74849217
01-08-2034,2034,61.33132162
02-08-2034,2034,58.93476447
03-08-2034,2034,58.06009464
04-08-2034,2034,53.7798458
05-08-2034,2034,54.79649501
06-08-2034,2034,57.10129789
07-08-2034,2034,56.71834666
08-08-2034,2034,54.65170079
09-08-2034,2034,53.39126453
10-08-2034,2034,55.62263993
11-08-2034,2034,55.9795734
12-08-2034,2034,56.7432303
13-08-2034,2034,53.60546068
14-08-2034,2034,52.23078806
15-08-2034,2034,51.03839761
16-08-2034,2034,52.55200619
17-08-2034,2034,52.77374303
18-08-2034,2034,53.16120105
19-08-2034,2034,56.1331836
20-08-2034,2034,53.33428524
21-08-2034,2034,55.29556825
22-08-2034,2034,55.97833655
23-08-2034,2034,50.4631201
24-08-2034,2034,50.59394481
25-08-2034,2034,49.4146762
26-08-2034,2034,49.26434035
27-08-2034,2034,45.18899529
28-08-2034,2034,43.55150429
29-08-2034,2034,46.30547276
30-08-2034,2034,45.76225383
31-08-2034,2034,41.84439898
01-09-2034,2034,41.35659351
02-09-2034,2034,41.12010213
03-09-2034,2034,42.45921545
04-09-2034,2034,40.57760617
05-09-2034,2034,39.27089514
06-09-2034,2034,38.22638563
07-09-2034,2034,36.10769353
08-09-2034,2034,37.32449032
09-09-2034,2034,42.59717138
10-09-2034,2034,45.29215573
11-09-2034,2034,44.58237801
12-09-2034,2034,40.83050826
13-09-2034,2034,41.9661681
14-09-2034,2034,42.52239483
15-09-2034,2034,38.66950185
16-09-2034,2034,36.89095141
17-09-2034,2034,36.35446284
18-09-2034,2034,35.55529605
19-09-2034,2034,35.57594458
20-09-2034,2034,31.99455341
21-09-2034,2034,34.7972802
22-09-2034,2034,38.46347918
23-09-2034,2034,41.71039356
24-09-2034,2034,37.76423863
25-09-2034,2034,33.3380506
26-09-2034,2034,30.32421468
27-09-2034,2034,37.09784153
28-09-2034,2034,44.24809741
29-09-2034,2034,43.0908605
30-09-2034,2034,39.5181664
01-10-2034,2034,38.1439452
02-10-2034,2034,34.35171208
03-10-2034,2034,33.68325971
04-10-2034,2034,28.57664982
05-10-2034,2034,31.81826801
06-10-2034,2034,28.91026336
07-10-2034,2034,23.83085413
08-10-2034,2034,20.54327611
09-10-2034,2034,24.50141352
10-10-2034,2034,28.06960416
11-10-2034,2034,29.98526272
12-10-2034,2034,29.50016071
13-10-2034,2034,30.30135691
14-10-2034,2034,31.41585391
15-10-2034,2034,34.06587872
16-10-2034,2034,31.88831557
17-10-2034,2034,27.8548951
18-10-2034,2034,29.03766399
19-10-2034,2034,30.94650506
20-10-2034,2034,25.08225203
21-10-2034,2034,24.5116797
22-10-2034,2034,32.45140698
23-10-2034,2034,30.28214411
24-10-2034,2034,28.96328528
25-10-2034,2034,28.19456622
26-10-2034,2034,27.26771823
27-10-2034,2034,33.96337842
28-10-2034,2034,35.10707108
29-10-2034,2034,32.96227259
30-10-2034,2034,33.07980058
31-10-2034,2034,31.02842881
01-11-2034,2034,26.93379127
02-11-2034,2034,29.93944143
03-11-2034,2034,36.48445078
04-11-2034,2034,32.23114111
05-11-2034,2034,25.86918102
06-11-2034,2034,28.97367717
07-11-2034,2034,25.41799863
08-11-2034,2034,25.44530416
09-11-2034,2034,30.31763437
10-11-2034,2034,24.45104101
11-11-2034,2034,22.19524993
12-11-2034,2034,23.82875697
13-11-2034,2034,25.27296626
14-11-2034,2034,24.90210046
15-11-2034,2034,20.76288863
16-11-2034,2034,23.17315882
17-11-2034,2034,23.77439742
18-11-2034,2034,22.4817188
19-11-2034,2034,18.83572124
20-11-2034,2034,17.65269198
21-11-2034,2034,17.23426221
22-11-2034,2034,21.46409258
23-11-2034,2034,23.39005971
24-11-2034,2034,24.61387504
25-11-2034,2034,22.62077689
26-11-2034,2034,20.0067565
27-11-2034,2034,22.81730621
28-11-2034,2034,24.58360344
29-11-2034,2034,22.22149599
30-11-2034,2034,21.93482515
01-12-2034,2034,23.69291548
02-12-2034,2034,29.77104618
03-12-2034,2034,29.11341405
04-12-2034,2034,30.85576899
05-12-2034,2034,28.72311501
06-12-2034,2034,20.0666573
07-12-2034,2034,18.22619343
08-12-2034,2034,21.5889354
09-12-2034,2034,26.15017825
10-12-2034,2034,27.2008241
11-12-2034,2034,30.98334454
12-12-2034,2034,28.00781419
13-12-2034,2034,28.42257184
14-12-2034,2034,29.93800621
15-12-2034,2034,24.2138832
16-12-2034,2034,21.95540245
17-12-2034,2034,20.09293587
18-12-2034,2034,22.80928873
19-12-2034,2034,27.23945802
20-12-2034,2034,25.95539424
21-12-2034,2034,22.51784815
22-12-2034,2034,26.79752265
23-12-2034,2034,31.1110906
24-12-2034,2034,33.13116733
25-12-2034,2034,31.55842134
26-12-2034,2034,26.32040667
27-12-2034,2034,14.73336179
28-12-2034,2034,11.86588088
29-12-2034,2034,17.28277851
30-12-2034,2034,19.6312104
31-12-2034,2034,19.70712324
01-01-2035,2035,19.15755902
02-01-2035,2035,19.46280662
03-01-2035,2035,19.94127368
04-01-2035,2035,19.48992695
05-01-2035,2035,21.43905012
06-01-2035,2035,20.06507294
07-01-2035,2035,21.29387
08-01-2035,2035,22.37425736
09-01-2035,2035,23.59408631
10-01-2035,2035,26.76239439
11-01-2035,2035,29.80489454
12-01-2035,2035,24.25483602
13-01-2035,2035,22.23268243
14-01-2035,2035,21.7333813
15-01-2035,2035,24.37848446
16-01-2035,2035,23.04232624
17-01-2035,2035,24.09457912
18-01-2035,2035,24.3398542
19-01-2035,2035,24.64459065
